order_id,product_id,category,supplier,warehouse,quantity,unit_price,discount,order_date,promised_delivery_days,actual_delivery_days,status,contact_email,is_quantity_outlier,revenue,delivery_variance,is_late,on_time_flag,order_year,order_month,order_quarter,order_month_name,order_yearmonth
ORD-00014,P003,Apparel,PrimeSources,Atlanta GA,81,35.0,0.0,2023-03-07,9,13,In Transit,buyer14@client.com,0,2835.0,4,1,0,2023,3,1,Mar,2023-03
ORD-00015,P009,Industrial,Apex Supplies,Dallas TX,33,300.0,0.1,2024-11-29,11,21,Delivered,buyer15@client.com,0,8910.0,10,1,0,2024,11,4,Nov,2024-11
ORD-00016,P006,Home & Garden,PrimeSources,Chicago IL,15,150.0,0.0,2024-04-09,3,12,Delayed,buyer16@client.com,0,2250.0,9,1,0,2024,4,2,Apr,2024-04
ORD-00017,P009,Industrial,NextGen Parts,Dallas TX,98,300.0,0.0,2024-10-02,7,15,In Transit,buyer17@client.com,0,29400.0,8,1,0,2024,10,4,Oct,2024-10
ORD-00018,P003,Apparel,NextGen Parts,Atlanta GA,48,35.0,0.0,2023-01-01,12,15,Pending,,0,1680.0,3,1,0,2023,1,1,Jan,2023-01
ORD-00019,P006,Home & Garden,Apex Supplies,Chicago IL,40,150.0,0.0,2024-08-03,4,3,Delayed,buyer19@client.com,0,6000.0,-1,0,1,2024,8,3,Aug,2024-08
ORD-00020,P002,Electronics,GlobalTrade Co.,Chicago IL,98,250.0,0.1,2024-11-06,10,16,Delivered,buyer20@client.com,0,22050.0,6,1,0,2024,11,4,Nov,2024-11
ORD-00021,P010,Industrial,NextGen Parts,Chicago IL,55,500.0,0.0,2024-12-31,7,11,Delayed,buyer21@client.com,0,27500.0,4,1,0,2024,12,4,Dec,2024-12
ORD-00022,P008,Food & Bev,Apex Supplies,Chicago IL,67,20.0,0.05,2023-08-19,4,7,Delivered,buyer22@client.com,0,1273.0,3,1,0,2023,8,3,Aug,2023-08
ORD-00023,P004,Apparel,Apex Supplies,Dallas TX,76,55.0,0.0,2024-12-25,13,11,Delivered,buyer23@client.com,0,4180.0,-2,0,1,2024,12,4,Dec,2024-12
ORD-00024,P001,Electronics,NextGen Parts,Chicago IL,43,120.0,0.0,2023-10-13,13,18,Delivered,buyer24@client.com,0,5160.0,5,1,0,2023,10,4,Oct,2023-10
ORD-00025,P010,Industrial,GlobalTrade Co.,New York NY,74,500.0,0.05,2024-02-21,6,5,Delivered,buyer25@client.com,0,35150.0,-1,0,1,2024,2,1,Feb,2024-02
ORD-00026,P006,Home & Garden,PrimeSources,Dallas TX,55,150.0,0.05,2024-11-20,13,21,Delivered,buyer26@client.com,0,7837.5,8,1,0,2024,11,4,Nov,2024-11
ORD-00027,P006,Home & Garden,GlobalTrade Co.,Chicago IL,14,150.0,0.0,2024-07-03,10,10,Pending,buyer27@client.com,0,2100.0,0,0,1,2024,7,3,Jul,2024-07
ORD-00028,P008,Food & Bev,PrimeSources,Atlanta GA,32,20.0,0.0,2023-04-11,3,11,In Transit,buyer28@client.com,0,640.0,8,1,0,2023,4,2,Apr,2023-04
ORD-00029,P002,Electronics,GlobalTrade Co.,New York NY,97,250.0,0.0,2024-05-12,10,11,Cancelled,buyer29@client.com,0,24250.0,1,1,0,2024,5,2,May,2024-05
ORD-00030,P001,Electronics,Apex Supplies,New York NY,22,120.0,0.05,2023-09-29,10,12,Pending,buyer30@client.com,0,2508.0,2,1,0,2023,9,3,Sep,2023-09
ORD-00031,P009,Industrial,PrimeSources,Chicago IL,85,300.0,0.15,2023-07-14,7,8,Delivered,buyer31@client.com,0,21675.0,1,1,0,2023,7,3,Jul,2023-07
ORD-00032,P009,Industrial,SwiftVendors,Dallas TX,8,300.0,0.15,2023-02-21,12,17,In Transit,buyer32@client.com,0,2040.0,5,1,0,2023,2,1,Feb,2023-02
ORD-00033,P009,Industrial,NextGen Parts,Dallas TX,21,300.0,0.0,2023-07-10,4,11,Delivered,buyer33@client.com,0,6300.0,7,1,0,2023,7,3,Jul,2023-07
ORD-00034,P004,Apparel,NextGen Parts,Chicago IL,52,55.0,0.0,2024-08-15,12,10,In Transit,buyer34@client.com,0,2860.0,-2,0,1,2024,8,3,Aug,2024-08
ORD-00035,P010,Industrial,SwiftVendors,Los Angeles CA,73,500.0,0.1,2023-07-29,13,22,Delivered,buyer35@client.com,0,32850.0,9,1,0,2023,7,3,Jul,2023-07
ORD-00036,P007,Food & Bev,SwiftVendors,New York NY,17,12.0,0.15,2023-11-20,4,2,Pending,buyer36@client.com,0,173.4,-2,0,1,2023,11,4,Nov,2023-11
ORD-00037,P010,Industrial,NextGen Parts,Chicago IL,13,500.0,0.0,2024-06-02,7,7,Delivered,buyer37@client.com,0,6500.0,0,0,1,2024,6,2,Jun,2024-06
ORD-00038,P004,Apparel,GlobalTrade Co.,New York NY,48,55.0,0.0,2024-07-10,14,16,In Transit,buyer38@client.com,0,2640.0,2,1,0,2024,7,3,Jul,2024-07
ORD-00039,P009,Industrial,NextGen Parts,Los Angeles CA,2,300.0,0.15,2024-11-10,4,4,Delivered,buyer39@client.com,0,510.0,0,0,1,2024,11,4,Nov,2024-11
ORD-00040,P002,Electronics,GlobalTrade Co.,Los Angeles CA,96,250.0,0.1,2023-10-16,12,13,Delayed,buyer40@client.com,0,21600.0,1,1,0,2023,10,4,Oct,2023-10
ORD-00041,P005,Home & Garden,SwiftVendors,Dallas TX,65,80.0,0.05,2023-04-05,13,17,Cancelled,buyer41@client.com,0,4940.0,4,1,0,2023,4,2,Apr,2023-04
ORD-00042,P001,Electronics,SwiftVendors,Chicago IL,43,120.0,0.0,2024-03-28,11,20,Pending,buyer42@client.com,0,5160.0,9,1,0,2024,3,1,Mar,2024-03
ORD-00043,P002,Electronics,GlobalTrade Co.,Atlanta GA,10,250.0,0.15,2023-02-06,8,15,In Transit,buyer43@client.com,0,2125.0,7,1,0,2023,2,1,Feb,2023-02
ORD-00044,P003,Apparel,SwiftVendors,Dallas TX,6,35.0,0.0,2024-01-02,6,14,Delivered,buyer44@client.com,0,210.0,8,1,0,2024,1,1,Jan,2024-01
ORD-00045,P006,Home & Garden,PrimeSources,Atlanta GA,100,150.0,0.1,2023-06-08,6,6,Cancelled,buyer45@client.com,0,13500.0,0,0,1,2023,6,2,Jun,2023-06
ORD-00046,P007,Food & Bev,SwiftVendors,New York NY,4,12.0,0.0,2024-11-16,14,24,Delivered,buyer46@client.com,0,48.0,10,1,0,2024,11,4,Nov,2024-11
ORD-00047,P002,Electronics,PrimeSources,Chicago IL,49,250.0,0.0,2023-07-24,10,13,Delivered,buyer47@client.com,0,12250.0,3,1,0,2023,7,3,Jul,2023-07
ORD-00048,P004,Apparel,GlobalTrade Co.,New York NY,29,55.0,0.0,2023-12-03,7,6,Cancelled,buyer48@client.com,0,1595.0,-1,0,1,2023,12,4,Dec,2023-12
ORD-00049,P009,Industrial,NextGen Parts,Los Angeles CA,52,300.0,0.15,2023-01-29,4,6,Delivered,buyer49@client.com,0,13260.0,2,1,0,2023,1,1,Jan,2023-01
ORD-00050,P005,Home & Garden,NextGen Parts,New York NY,5,80.0,0.0,2023-12-20,14,24,Delivered,buyer50@client.com,0,400.0,10,1,0,2023,12,4,Dec,2023-12
ORD-00051,P009,Industrial,NextGen Parts,Chicago IL,15,300.0,0.05,2023-09-18,3,12,Pending,,0,4275.0,9,1,0,2023,9,3,Sep,2023-09
ORD-00052,P009,Industrial,GlobalTrade Co.,Los Angeles CA,88,300.0,0.15,2024-03-17,4,12,Delivered,buyer52@client.com,0,22440.0,8,1,0,2024,3,1,Mar,2024-03
ORD-00053,P002,Electronics,NextGen Parts,Los Angeles CA,93,250.0,0.0,2024-11-13,9,12,Pending,buyer53@client.com,0,23250.0,3,1,0,2024,11,4,Nov,2024-11
ORD-00054,P009,Industrial,PrimeSources,New York NY,17,300.0,0.0,2024-11-24,14,14,In Transit,buyer54@client.com,0,5100.0,0,0,1,2024,11,4,Nov,2024-11
ORD-00055,P007,Food & Bev,SwiftVendors,Los Angeles CA,71,12.0,0.0,2023-08-04,9,19,In Transit,buyer55@client.com,0,852.0,10,1,0,2023,8,3,Aug,2023-08
ORD-00056,P006,Home & Garden,PrimeSources,Chicago IL,60,150.0,0.05,2024-06-07,10,20,Cancelled,buyer56@client.com,0,8550.0,10,1,0,2024,6,2,Jun,2024-06
ORD-00057,P002,Electronics,NextGen Parts,Los Angeles CA,37,250.0,0.1,2023-04-06,6,14,Delivered,buyer57@client.com,0,8325.0,8,1,0,2023,4,2,Apr,2023-04
ORD-00058,P004,Apparel,Apex Supplies,Chicago IL,19,55.0,0.0,2024-05-01,12,22,Delivered,buyer58@client.com,0,1045.0,10,1,0,2024,5,2,May,2024-05
ORD-00059,P010,Industrial,PrimeSources,New York NY,25,500.0,0.15,2024-02-14,6,6,Delayed,buyer59@client.com,0,10625.0,0,0,1,2024,2,1,Feb,2024-02
ORD-00060,P002,Electronics,GlobalTrade Co.,Chicago IL,100,250.0,0.05,2024-12-13,11,16,Delivered,buyer60@client.com,0,23750.0,5,1,0,2024,12,4,Dec,2024-12
ORD-00061,P002,Electronics,PrimeSources,Atlanta GA,59,250.0,0.0,2024-07-26,12,15,Cancelled,buyer61@client.com,0,14750.0,3,1,0,2024,7,3,Jul,2024-07
ORD-00062,P010,Industrial,PrimeSources,Atlanta GA,93,500.0,0.1,2024-04-01,5,14,Cancelled,buyer62@client.com,0,41850.0,9,1,0,2024,4,2,Apr,2024-04
ORD-00063,P005,Home & Garden,SwiftVendors,Atlanta GA,97,80.0,0.0,2024-05-11,13,14,Delivered,buyer63@client.com,0,7760.0,1,1,0,2024,5,2,May,2024-05
ORD-00064,P005,Home & Garden,SwiftVendors,Los Angeles CA,31,80.0,0.0,2024-07-07,4,4,Delivered,buyer64@client.com,0,2480.0,0,0,1,2024,7,3,Jul,2024-07
ORD-00065,P003,Apparel,Apex Supplies,New York NY,91,35.0,0.0,2024-02-22,8,14,Pending,buyer65@client.com,0,3185.0,6,1,0,2024,2,1,Feb,2024-02
ORD-00066,P004,Apparel,NextGen Parts,Dallas TX,54,55.0,0.05,2024-08-12,9,14,Delivered,buyer66@client.com,0,2821.5,5,1,0,2024,8,3,Aug,2024-08
ORD-00067,P005,Home & Garden,PrimeSources,Atlanta GA,97,80.0,0.05,2024-07-13,12,13,Pending,buyer67@client.com,0,7372.0,1,1,0,2024,7,3,Jul,2024-07
ORD-00068,P007,Food & Bev,PrimeSources,Los Angeles CA,63,12.0,0.0,2024-11-15,13,23,Pending,buyer68@client.com,0,756.0,10,1,0,2024,11,4,Nov,2024-11
ORD-00069,P008,Food & Bev,NextGen Parts,Dallas TX,17,20.0,0.1,2024-02-08,12,19,Delayed,,0,306.0,7,1,0,2024,2,1,Feb,2024-02
ORD-00070,P007,Food & Bev,GlobalTrade Co.,Dallas TX,18,12.0,0.05,2023-09-24,9,12,Delivered,buyer70@client.com,0,205.2,3,1,0,2023,9,3,Sep,2023-09
ORD-00071,P006,Home & Garden,SwiftVendors,New York NY,98,150.0,0.05,2023-09-16,4,9,Delivered,buyer71@client.com,0,13965.0,5,1,0,2023,9,3,Sep,2023-09
ORD-00072,P001,Electronics,Apex Supplies,Dallas TX,45,120.0,0.0,2023-02-01,6,7,Cancelled,,0,5400.0,1,1,0,2023,2,1,Feb,2023-02
ORD-00073,P003,Apparel,PrimeSources,Dallas TX,31,35.0,0.0,2024-07-31,6,11,Delayed,buyer73@client.com,0,1085.0,5,1,0,2024,7,3,Jul,2024-07
ORD-00074,P006,Home & Garden,NextGen Parts,Dallas TX,22,150.0,0.1,2023-06-17,7,6,In Transit,,0,2970.0,-1,0,1,2023,6,2,Jun,2023-06
ORD-00075,P005,Home & Garden,PrimeSources,New York NY,74,80.0,0.15,2023-07-23,4,11,Delayed,buyer75@client.com,0,5032.0,7,1,0,2023,7,3,Jul,2023-07
ORD-00076,P004,Apparel,SwiftVendors,Atlanta GA,14,55.0,0.15,2023-05-04,12,22,Delivered,buyer76@client.com,0,654.5,10,1,0,2023,5,2,May,2023-05
ORD-00077,P007,Food & Bev,Apex Supplies,Atlanta GA,85,12.0,0.0,2024-10-25,8,6,Cancelled,buyer77@client.com,0,1020.0,-2,0,1,2024,10,4,Oct,2024-10
ORD-00078,P008,Food & Bev,SwiftVendors,New York NY,14,20.0,0.05,2024-12-25,5,9,Delivered,buyer78@client.com,0,266.0,4,1,0,2024,12,4,Dec,2024-12
ORD-00079,P005,Home & Garden,PrimeSources,New York NY,79,80.0,0.1,2024-03-22,14,21,Delivered,buyer79@client.com,0,5688.0,7,1,0,2024,3,1,Mar,2024-03
ORD-00080,P004,Apparel,PrimeSources,Chicago IL,12,55.0,0.0,2024-04-20,12,19,Delayed,buyer80@client.com,0,660.0,7,1,0,2024,4,2,Apr,2024-04
ORD-00081,P001,Electronics,GlobalTrade Co.,New York NY,64,120.0,0.0,2023-08-06,8,18,Delivered,buyer81@client.com,0,7680.0,10,1,0,2023,8,3,Aug,2023-08
ORD-00082,P010,Industrial,NextGen Parts,Dallas TX,90,500.0,0.0,2024-06-13,6,5,Delivered,buyer82@client.com,0,45000.0,-1,0,1,2024,6,2,Jun,2024-06
ORD-00083,P008,Food & Bev,PrimeSources,New York NY,72,20.0,0.0,2024-04-03,3,2,Delivered,buyer83@client.com,0,1440.0,-1,0,1,2024,4,2,Apr,2024-04
ORD-00084,P004,Apparel,NextGen Parts,Los Angeles CA,40,55.0,0.15,2024-04-29,11,17,Delivered,buyer84@client.com,0,1870.0,6,1,0,2024,4,2,Apr,2024-04
ORD-00085,P009,Industrial,PrimeSources,Los Angeles CA,43,300.0,0.0,2023-11-10,7,8,Delivered,buyer85@client.com,0,12900.0,1,1,0,2023,11,4,Nov,2023-11
ORD-00086,P006,Home & Garden,NextGen Parts,Chicago IL,16,150.0,0.15,2023-07-16,6,15,Pending,buyer86@client.com,0,2040.0,9,1,0,2023,7,3,Jul,2023-07
ORD-00087,P010,Industrial,NextGen Parts,Los Angeles CA,98,500.0,0.1,2023-04-13,6,8,Delivered,buyer87@client.com,0,44100.0,2,1,0,2023,4,2,Apr,2023-04
ORD-00088,P005,Home & Garden,NextGen Parts,Chicago IL,2,80.0,0.15,2023-10-08,3,1,In Transit,buyer88@client.com,0,136.0,-2,0,1,2023,10,4,Oct,2023-10
ORD-00089,P003,Apparel,Apex Supplies,Dallas TX,82,35.0,0.05,2024-08-10,7,12,Pending,buyer89@client.com,0,2726.5,5,1,0,2024,8,3,Aug,2024-08
ORD-00090,P003,Apparel,PrimeSources,Dallas TX,7,35.0,0.0,2023-03-08,9,14,Delivered,buyer90@client.com,0,245.0,5,1,0,2023,3,1,Mar,2023-03
ORD-00091,P001,Electronics,NextGen Parts,Los Angeles CA,20,120.0,0.0,2023-03-29,6,5,In Transit,buyer91@client.com,0,2400.0,-1,0,1,2023,3,1,Mar,2023-03
ORD-00092,P010,Industrial,GlobalTrade Co.,Atlanta GA,77,500.0,0.1,2024-01-25,10,15,Delivered,buyer92@client.com,0,34650.0,5,1,0,2024,1,1,Jan,2024-01
ORD-00093,P007,Food & Bev,NextGen Parts,Dallas TX,40,12.0,0.1,2024-09-16,14,13,Cancelled,buyer93@client.com,0,432.0,-1,0,1,2024,9,3,Sep,2024-09
ORD-00094,P004,Apparel,Apex Supplies,Chicago IL,34,55.0,0.15,2023-09-03,5,11,Delivered,buyer94@client.com,0,1589.5,6,1,0,2023,9,3,Sep,2023-09
ORD-00095,P007,Food & Bev,NextGen Parts,New York NY,58,12.0,0.15,2023-10-26,3,4,Delivered,buyer95@client.com,0,591.6,1,1,0,2023,10,4,Oct,2023-10
ORD-00096,P008,Food & Bev,GlobalTrade Co.,Los Angeles CA,10,20.0,0.15,2024-10-02,12,20,Cancelled,buyer96@client.com,0,170.0,8,1,0,2024,10,4,Oct,2024-10
ORD-00097,P007,Food & Bev,GlobalTrade Co.,Chicago IL,15,12.0,0.1,2023-09-30,5,4,Delivered,buyer97@client.com,0,162.0,-1,0,1,2023,9,3,Sep,2023-09
ORD-00098,P005,Home & Garden,NextGen Parts,Los Angeles CA,77,80.0,0.15,2024-03-25,4,9,Delayed,buyer98@client.com,0,5236.0,5,1,0,2024,3,1,Mar,2024-03
ORD-00099,P007,Food & Bev,NextGen Parts,New York NY,35,12.0,0.1,2024-03-24,4,11,Delivered,buyer99@client.com,0,378.0,7,1,0,2024,3,1,Mar,2024-03
ORD-00100,P006,Home & Garden,Apex Supplies,Dallas TX,78,150.0,0.0,2023-08-23,13,20,In Transit,buyer100@client.com,0,11700.0,7,1,0,2023,8,3,Aug,2023-08
ORD-00101,P005,Home & Garden,GlobalTrade Co.,New York NY,74,80.0,0.0,2024-06-15,13,18,Delivered,buyer101@client.com,0,5920.0,5,1,0,2024,6,2,Jun,2024-06
ORD-00102,P010,Industrial,PrimeSources,Dallas TX,56,500.0,0.15,2024-04-26,8,12,Delivered,buyer102@client.com,0,23800.0,4,1,0,2024,4,2,Apr,2024-04
ORD-00103,P002,Electronics,PrimeSources,New York NY,21,250.0,0.0,2023-10-23,13,17,Cancelled,buyer103@client.com,0,5250.0,4,1,0,2023,10,4,Oct,2023-10
ORD-00104,P001,Electronics,SwiftVendors,Los Angeles CA,59,120.0,0.0,2023-11-28,4,14,Pending,buyer104@client.com,0,7080.0,10,1,0,2023,11,4,Nov,2023-11
ORD-00105,P001,Electronics,PrimeSources,New York NY,85,120.0,0.1,2023-02-25,6,12,Delivered,buyer105@client.com,0,9180.0,6,1,0,2023,2,1,Feb,2023-02
ORD-00106,P008,Food & Bev,Apex Supplies,Chicago IL,81,20.0,0.05,2023-10-01,11,11,Delivered,buyer106@client.com,0,1539.0,0,0,1,2023,10,4,Oct,2023-10
ORD-00107,P008,Food & Bev,NextGen Parts,Chicago IL,16,20.0,0.0,2024-12-27,5,7,In Transit,,0,320.0,2,1,0,2024,12,4,Dec,2024-12
ORD-00108,P007,Food & Bev,Apex Supplies,New York NY,12,12.0,0.0,2023-05-01,13,13,Pending,buyer108@client.com,0,144.0,0,0,1,2023,5,2,May,2023-05
ORD-00109,P005,Home & Garden,SwiftVendors,New York NY,66,80.0,0.15,2024-05-09,10,11,Pending,buyer109@client.com,0,4488.0,1,1,0,2024,5,2,May,2024-05
ORD-00110,P007,Food & Bev,NextGen Parts,Chicago IL,25,12.0,0.1,2023-03-13,7,17,Cancelled,buyer110@client.com,0,270.0,10,1,0,2023,3,1,Mar,2023-03
ORD-00111,P006,Home & Garden,Apex Supplies,Los Angeles CA,65,150.0,0.0,2023-11-02,12,19,Delayed,buyer111@client.com,0,9750.0,7,1,0,2023,11,4,Nov,2023-11
ORD-00112,P003,Apparel,PrimeSources,Los Angeles CA,58,35.0,0.1,2023-12-07,11,21,In Transit,buyer112@client.com,0,1827.0,10,1,0,2023,12,4,Dec,2023-12
ORD-00113,P006,Home & Garden,GlobalTrade Co.,Atlanta GA,25,150.0,0.15,2024-01-28,6,16,Pending,,0,3187.5,10,1,0,2024,1,1,Jan,2024-01
ORD-00114,P008,Food & Bev,PrimeSources,Chicago IL,91,20.0,0.05,2024-05-22,3,3,In Transit,buyer114@client.com,0,1729.0,0,0,1,2024,5,2,May,2024-05
ORD-00115,P006,Home & Garden,Apex Supplies,Atlanta GA,13,150.0,0.05,2024-04-12,3,12,Delivered,buyer115@client.com,0,1852.5,9,1,0,2024,4,2,Apr,2024-04
ORD-00116,P003,Apparel,SwiftVendors,Los Angeles CA,10,35.0,0.05,2024-09-30,14,18,Delayed,buyer116@client.com,0,332.5,4,1,0,2024,9,3,Sep,2024-09
ORD-00117,P006,Home & Garden,PrimeSources,Los Angeles CA,87,150.0,0.1,2024-10-03,14,24,Pending,buyer117@client.com,0,11745.0,10,1,0,2024,10,4,Oct,2024-10
ORD-00118,P001,Electronics,GlobalTrade Co.,Los Angeles CA,80,120.0,0.0,2023-08-21,14,13,Pending,buyer118@client.com,0,9600.0,-1,0,1,2023,8,3,Aug,2023-08
ORD-00119,P002,Electronics,SwiftVendors,Dallas TX,57,250.0,0.0,2023-02-17,8,18,Delivered,buyer119@client.com,0,14250.0,10,1,0,2023,2,1,Feb,2023-02
ORD-00120,P006,Home & Garden,GlobalTrade Co.,Atlanta GA,56,150.0,0.0,2024-02-26,12,20,Cancelled,buyer120@client.com,0,8400.0,8,1,0,2024,2,1,Feb,2024-02
ORD-00121,P003,Apparel,PrimeSources,Atlanta GA,11,35.0,0.1,2024-11-30,6,11,In Transit,buyer121@client.com,0,346.5,5,1,0,2024,11,4,Nov,2024-11
ORD-00122,P008,Food & Bev,PrimeSources,Los Angeles CA,82,20.0,0.0,2024-11-13,3,13,Pending,buyer122@client.com,0,1640.0,10,1,0,2024,11,4,Nov,2024-11
ORD-00123,P009,Industrial,PrimeSources,Los Angeles CA,21,300.0,0.0,2024-08-24,7,15,Pending,buyer123@client.com,0,6300.0,8,1,0,2024,8,3,Aug,2024-08
ORD-00124,P008,Food & Bev,PrimeSources,New York NY,39,20.0,0.0,2023-04-20,6,10,In Transit,buyer124@client.com,0,780.0,4,1,0,2023,4,2,Apr,2023-04
ORD-00125,P005,Home & Garden,Apex Supplies,New York NY,90,80.0,0.0,2023-10-09,3,10,Cancelled,buyer125@client.com,0,7200.0,7,1,0,2023,10,4,Oct,2023-10
ORD-00126,P001,Electronics,PrimeSources,Los Angeles CA,78,120.0,0.15,2023-08-24,12,22,Delivered,buyer126@client.com,0,7956.0,10,1,0,2023,8,3,Aug,2023-08
ORD-00127,P004,Apparel,GlobalTrade Co.,Dallas TX,80,55.0,0.0,2024-10-04,13,11,Delivered,buyer127@client.com,0,4400.0,-2,0,1,2024,10,4,Oct,2024-10
ORD-00128,P001,Electronics,GlobalTrade Co.,Dallas TX,75,120.0,0.0,2023-10-30,8,17,Pending,buyer128@client.com,0,9000.0,9,1,0,2023,10,4,Oct,2023-10
ORD-00129,P003,Apparel,NextGen Parts,Atlanta GA,70,35.0,0.0,2023-10-07,5,7,Cancelled,buyer129@client.com,0,2450.0,2,1,0,2023,10,4,Oct,2023-10
ORD-00130,P005,Home & Garden,Apex Supplies,New York NY,96,80.0,0.0,2023-03-19,5,15,Delivered,buyer130@client.com,0,7680.0,10,1,0,2023,3,1,Mar,2023-03
ORD-00131,P007,Food & Bev,Apex Supplies,New York NY,72,12.0,0.0,2023-01-15,7,13,Delivered,buyer131@client.com,0,864.0,6,1,0,2023,1,1,Jan,2023-01
ORD-00132,P005,Home & Garden,SwiftVendors,Dallas TX,75,80.0,0.05,2024-11-22,6,11,Delivered,buyer132@client.com,0,5700.0,5,1,0,2024,11,4,Nov,2024-11
ORD-00133,P009,Industrial,GlobalTrade Co.,Dallas TX,42,300.0,0.1,2024-10-12,10,19,Delivered,buyer133@client.com,0,11340.0,9,1,0,2024,10,4,Oct,2024-10
ORD-00134,P002,Electronics,Apex Supplies,Los Angeles CA,18,250.0,0.0,2024-05-19,4,3,Delivered,buyer134@client.com,0,4500.0,-1,0,1,2024,5,2,May,2024-05
ORD-00135,P003,Apparel,SwiftVendors,Atlanta GA,50,35.0,0.05,2024-03-05,12,21,Delayed,buyer135@client.com,0,1662.5,9,1,0,2024,3,1,Mar,2024-03
ORD-00136,P007,Food & Bev,PrimeSources,Atlanta GA,84,12.0,0.0,2024-02-22,7,5,Delayed,buyer136@client.com,0,1008.0,-2,0,1,2024,2,1,Feb,2024-02
ORD-00137,P008,Food & Bev,SwiftVendors,Dallas TX,57,20.0,0.0,2024-12-03,8,14,Delayed,buyer137@client.com,0,1140.0,6,1,0,2024,12,4,Dec,2024-12
ORD-00138,P007,Food & Bev,Apex Supplies,New York NY,36,12.0,0.0,2023-04-04,13,14,Delayed,buyer138@client.com,0,432.0,1,1,0,2023,4,2,Apr,2023-04
ORD-00139,P001,Electronics,GlobalTrade Co.,Chicago IL,7,120.0,0.0,2024-08-01,6,5,Cancelled,buyer139@client.com,0,840.0,-1,0,1,2024,8,3,Aug,2024-08
ORD-00140,P004,Apparel,GlobalTrade Co.,Los Angeles CA,76,55.0,0.0,2023-06-01,12,10,Delivered,buyer140@client.com,0,4180.0,-2,0,1,2023,6,2,Jun,2023-06
ORD-00141,P003,Apparel,SwiftVendors,Chicago IL,17,35.0,0.1,2023-04-23,13,11,Delivered,,0,535.5,-2,0,1,2023,4,2,Apr,2023-04
ORD-00142,P004,Apparel,Apex Supplies,Chicago IL,76,55.0,0.0,2023-09-29,3,3,Delayed,buyer142@client.com,0,4180.0,0,0,1,2023,9,3,Sep,2023-09
ORD-00143,P002,Electronics,PrimeSources,New York NY,96,250.0,0.0,2024-01-06,11,18,Delivered,buyer143@client.com,0,24000.0,7,1,0,2024,1,1,Jan,2024-01
ORD-00144,P004,Apparel,NextGen Parts,Los Angeles CA,79,55.0,0.0,2024-04-14,13,11,Delivered,buyer144@client.com,0,4345.0,-2,0,1,2024,4,2,Apr,2024-04
ORD-00145,P007,Food & Bev,Apex Supplies,New York NY,55,12.0,0.15,2024-12-30,10,9,Delivered,buyer145@client.com,0,561.0,-1,0,1,2024,12,4,Dec,2024-12
