order_id,product_id,category,supplier,warehouse,quantity,unit_price,discount,order_date,promised_delivery_days,actual_delivery_days,status,contact_email
ORD-00029,P002,Electronics,GlobalTrade Co.,New York NY,97,250.0,0.0,2024-05-12,10,11,Cancelled,buyer29@client.com
ORD-00030,P001,Electronics,Apex Supplies,New York NY,22,120.0,0.05,2023-09-29,10,12,Pending,buyer30@client.com
ORD-00031,P009,Industrial,PrimeSources,Chicago IL,85,300.0,0.15,2023-07-14,7,8,Delivered,buyer31@client.com
ORD-00032,P009,Industrial,SwiftVendors,Dallas TX,8,300.0,0.15,2023-02-21,12,17,In Transit,buyer32@client.com
ORD-00033,P009,Industrial,NextGen Parts,Dallas TX,21,300.0,0.0,2023-07-10,4,11,Delivered,buyer33@client.com
ORD-00034,P004,Apparel,NextGen Parts,Chicago IL,52,55.0,0.0,2024-08-15,12,10,In Transit,buyer34@client.com
ORD-00035,P010,Industrial,SwiftVendors,Los Angeles CA,73,500.0,0.1,2023-07-29,13,22,Delivered,buyer35@client.com
ORD-00036,P007,Food & Bev,SwiftVendors,New York NY,17,12.0,0.15,2023-11-20,4,2,Pending,buyer36@client.com
ORD-00037,P010,Industrial,NextGen Parts,Chicago IL,13,500.0,0.0,2024-06-02,7,7,Delivered,buyer37@client.com
ORD-00038,P004,Apparel,GlobalTrade Co.,New York NY,48,55.0,0.0,2024-07-10,14,16,In Transit,buyer38@client.com
ORD-00039,P009,Industrial,NextGen Parts,Los Angeles CA,2,300.0,0.15,2024-11-10,4,4,Delivered,buyer39@client.com
ORD-00040,P002,Electronics,GlobalTrade Co.,Los Angeles CA,96,250.0,0.1,2023-10-16,12,13,Delayed,buyer40@client.com
ORD-00041,P005,Home & Garden,SwiftVendors,Dallas TX,65,80.0,0.05,2023-04-05,13,17,Cancelled,buyer41@client.com
ORD-00042,P001,Electronics,SwiftVendors,Chicago IL,43,120.0,0.0,2024-03-28,11,20,Pending,buyer42@client.com
ORD-00043,P002,Electronics,GlobalTrade Co.,Atlanta GA,10,250.0,0.15,2023-02-06,8,15,In Transit,buyer43@client.com
ORD-00044,P003,Apparel,SwiftVendors,Dallas TX,6,35.0,0.0,2024-01-02,6,14,Delivered,buyer44@client.com
ORD-00045,P006,Home & Garden,PrimeSources,Atlanta GA,100,150.0,0.1,2023-06-08,6,6,Cancelled,buyer45@client.com
ORD-00046,P007,Food & Bev,SwiftVendors,New York NY,4,12.0,0.0,2024-11-16,14,24,Delivered,buyer46@client.com
ORD-00047,P002,Electronics,PrimeSources,Chicago IL,49,250.0,0.0,2023-07-24,10,13,Delivered,buyer47@client.com
ORD-00048,P004,Apparel,GlobalTrade Co.,New York NY,29,55.0,0.0,2023-12-03,7,6,Cancelled,buyer48@client.com
ORD-00049,P009,Industrial,NextGen Parts,Los Angeles CA,52,300.0,0.15,2023-01-29,4,6,Delivered,buyer49@client.com
ORD-00050,P005,Home & Garden,NextGen Parts,New York NY,5,80.0,0.0,2023-12-20,14,24,Delivered,buyer50@client.com
ORD-00051,P009,Industrial,NextGen Parts,Chicago IL,15,300.0,0.05,2023-09-18,3,12,Pending,
ORD-00052,P009,Industrial,GlobalTrade Co.,Los Angeles CA,88,300.0,0.15,2024-03-17,4,12,Delivered,buyer52@client.com
ORD-00053,P002,Electronics,NextGen Parts,Los Angeles CA,93,250.0,0.0,2024-11-13,9,12,Pending,buyer53@client.com
ORD-00054,P009,Industrial,PrimeSources,New York NY,17,300.0,0.0,2024-11-24,14,14,In Transit,buyer54@client.com
ORD-00055,P007,Food & Bev,SwiftVendors,Los Angeles CA,71,12.0,0.0,2023-08-04,9,19,In Transit,buyer55@client.com
ORD-00056,P006,Home & Garden,PrimeSources,Chicago IL,60,150.0,0.05,2024-06-07,10,20,Cancelled,buyer56@client.com
ORD-00057,P002,Electronics,NextGen Parts,Los Angeles CA,37,250.0,0.1,2023-04-06,6,14,Delivered,buyer57@client.com
ORD-00058,P004,Apparel,Apex Supplies,Chicago IL,19,55.0,0.0,2024-05-01,12,22,Delivered,buyer58@client.com
ORD-00059,P010,Industrial,PrimeSources,New York NY,25,500.0,0.15,2024-02-14,6,6,Delayed,buyer59@client.com
ORD-00060,P002,Electronics,GlobalTrade Co.,Chicago IL,100,250.0,0.05,2024-12-13,11,16,Delivered,buyer60@client.com
ORD-00061,P002,Electronics,PrimeSources,Atlanta GA,59,250.0,0.0,2024-07-26,12,15,Cancelled,buyer61@client.com
ORD-00062,P010,Industrial,PrimeSources,Atlanta GA,93,500.0,0.1,2024-04-01,5,14,Cancelled,buyer62@client.com
ORD-00063,P005,Home & Garden,SwiftVendors,Atlanta GA,97,80.0,0.0,2024-05-11,13,14,Delivered,buyer63@client.com
ORD-00064,P005,Home & Garden,SwiftVendors,Los Angeles CA,31,80.0,0.0,2024-07-07,4,4,Delivered,buyer64@client.com
ORD-00065,P003,Apparel,Apex Supplies,New York NY,91,35.0,0.0,2024-02-22,8,14,Pending,buyer65@client.com
ORD-00066,P004,Apparel,NextGen Parts,Dallas TX,54,55.0,0.05,2024-08-12,9,14,Delivered,buyer66@client.com
ORD-00067,P005,Home & Garden,PrimeSources,Atlanta GA,97,80.0,0.05,2024-07-13,12,13,Pending,buyer67@client.com
ORD-00068,P007,Food & Bev,PrimeSources,Los Angeles CA,63,12.0,0.0,2024-11-15,13,23,Pending,buyer68@client.com
ORD-00069,P008,Food & Bev,NextGen Parts,Dallas TX,17,20.0,0.1,2024-02-08,12,19,Delayed,
ORD-00070,P007,Food & Bev,GlobalTrade Co.,Dallas TX,18,12.0,0.05,2023-09-24,9,12,Delivered,buyer70@client.com
ORD-00071,P006,Home & Garden,SwiftVendors,New York NY,98,150.0,0.05,2023-09-16,4,9,Delivered,buyer71@client.com
ORD-00072,P001,Electronics,Apex Supplies,Dallas TX,45,120.0,0.0,2023-02-01,6,7,Cancelled,
ORD-00073,P003,Apparel,PrimeSources,Dallas TX,31,35.0,0.0,2024-07-31,6,11,Delayed,buyer73@client.com
ORD-00074,P006,Home & Garden,NextGen Parts,Dallas TX,22,150.0,0.1,2023-06-17,7,6,In Transit,
ORD-00075,P005,Home & Garden,PrimeSources,New York NY,74,80.0,0.15,2023-07-23,4,11,Delayed,buyer75@client.com
ORD-00076,P004,Apparel,SwiftVendors,Atlanta GA,14,55.0,0.15,2023-05-04,12,22,Delivered,buyer76@client.com
ORD-00077,P007,Food & Bev,Apex Supplies,Atlanta GA,85,12.0,0.0,2024-10-25,8,6,Cancelled,buyer77@client.com
ORD-00078,P008,Food & Bev,SwiftVendors,New York NY,14,20.0,0.05,2024-12-25,5,9,Delivered,buyer78@client.com
ORD-00079,P005,Home & Garden,PrimeSources,New York NY,79,80.0,0.1,2024-03-22,14,21,Delivered,buyer79@client.com
ORD-00080,P004,Apparel,PrimeSources,Chicago IL,12,55.0,0.0,2024-04-20,12,19,Delayed,buyer80@client.com
ORD-00081,P001,Electronics,GlobalTrade Co.,New York NY,64,120.0,0.0,2023-08-06,8,18,Delivered,buyer81@client.com
ORD-00082,P010,Industrial,NextGen Parts,Dallas TX,90,500.0,0.0,2024-06-13,6,5,Delivered,buyer82@client.com
ORD-00083,P008,Food & Bev,PrimeSources,New York NY,72,20.0,0.0,2024-04-03,3,2,Delivered,buyer83@client.com
ORD-00084,P004,Apparel,NextGen Parts,Los Angeles CA,40,55.0,0.15,2024-04-29,11,17,Delivered,buyer84@client.com
ORD-00085,P009,Industrial,PrimeSources,Los Angeles CA,43,300.0,0.0,2023-11-10,7,8,Delivered,buyer85@client.com
ORD-00086,P006,Home & Garden,NextGen Parts,Chicago IL,16,150.0,0.15,2023-07-16,6,15,Pending,buyer86@client.com
ORD-00087,P010,Industrial,NextGen Parts,Los Angeles CA,98,500.0,0.1,2023-04-13,6,8,Delivered,buyer87@client.com
ORD-00088,P005,Home & Garden,NextGen Parts,Chicago IL,2,80.0,0.15,2023-10-08,3,1,In Transit,buyer88@client.com
ORD-00089,P003,Apparel,Apex Supplies,Dallas TX,82,35.0,0.05,2024-08-10,7,12,Pending,buyer89@client.com
ORD-00090,P003,Apparel,PrimeSources,Dallas TX,7,35.0,0.0,2023-03-08,9,14,Delivered,buyer90@client.com
ORD-00091,P001,Electronics,NextGen Parts,Los Angeles CA,20,120.0,0.0,2023-03-29,6,5,In Transit,buyer91@client.com
ORD-00092,P010,Industrial,GlobalTrade Co.,Atlanta GA,77,500.0,0.1,2024-01-25,10,15,Delivered,buyer92@client.com
ORD-00093,P007,Food & Bev,NextGen Parts,Dallas TX,40,12.0,0.1,2024-09-16,14,13,Cancelled,buyer93@client.com
ORD-00094,P004,Apparel,Apex Supplies,Chicago IL,34,55.0,0.15,2023-09-03,5,11,Delivered,buyer94@client.com
ORD-00095,P007,Food & Bev,NextGen Parts,New York NY,58,12.0,0.15,2023-10-26,3,4,Delivered,buyer95@client.com
ORD-00096,P008,Food & Bev,GlobalTrade Co.,Los Angeles CA,10,20.0,0.15,2024-10-02,12,20,Cancelled,buyer96@client.com
ORD-00097,P007,Food & Bev,GlobalTrade Co.,Chicago IL,15,12.0,0.1,2023-09-30,5,4,Delivered,buyer97@client.com
ORD-00098,P005,Home & Garden,NextGen Parts,Los Angeles CA,77,80.0,0.15,2024-03-25,4,9,Delayed,buyer98@client.com
ORD-00099,P007,Food & Bev,NextGen Parts,New York NY,35,12.0,0.1,2024-03-24,4,11,Delivered,buyer99@client.com
ORD-00100,P006,Home & Garden,Apex Supplies,Dallas TX,78,150.0,0.0,2023-08-23,13,20,In Transit,buyer100@client.com
ORD-00101,P005,Home & Garden,GlobalTrade Co.,New York NY,74,80.0,0.0,2024-06-15,13,18,Delivered,buyer101@client.com
ORD-00102,P010,Industrial,PrimeSources,Dallas TX,56,500.0,0.15,2024-04-26,8,12,Delivered,buyer102@client.com
ORD-00103,P002,Electronics,PrimeSources,New York NY,21,250.0,0.0,2023-10-23,13,17,Cancelled,buyer103@client.com
ORD-00104,P001,Electronics,SwiftVendors,Los Angeles CA,59,120.0,0.0,2023-11-28,4,14,Pending,buyer104@client.com
ORD-00105,P001,Electronics,PrimeSources,New York NY,85,120.0,0.1,2023-02-25,6,12,Delivered,buyer105@client.com
ORD-00106,P008,Food & Bev,Apex Supplies,Chicago IL,81,20.0,0.05,2023-10-01,11,11,Delivered,buyer106@client.com
ORD-00107,P008,Food & Bev,NextGen Parts,Chicago IL,16,20.0,0.0,2024-12-27,5,7,In Transit,
ORD-00108,P007,Food & Bev,Apex Supplies,New York NY,12,12.0,0.0,2023-05-01,13,13,Pending,buyer108@client.com
ORD-00109,P005,Home & Garden,SwiftVendors,New York NY,66,80.0,0.15,2024-05-09,10,11,Pending,buyer109@client.com
ORD-00110,P007,Food & Bev,NextGen Parts,Chicago IL,25,12.0,0.1,2023-03-13,7,17,Cancelled,buyer110@client.com
ORD-00111,P006,Home & Garden,Apex Supplies,Los Angeles CA,65,150.0,0.0,2023-11-02,12,19,Delayed,buyer111@client.com
ORD-00112,P003,Apparel,PrimeSources,Los Angeles CA,58,35.0,0.1,2023-12-07,11,21,In Transit,buyer112@client.com
ORD-00113,P006,Home & Garden,GlobalTrade Co.,Atlanta GA,25,150.0,0.15,2024-01-28,6,16,Pending,
ORD-00114,P008,Food & Bev,PrimeSources,Chicago IL,91,20.0,0.05,2024-05-22,3,3,In Transit,buyer114@client.com
ORD-00115,P006,Home & Garden,Apex Supplies,Atlanta GA,13,150.0,0.05,2024-04-12,3,12,Delivered,buyer115@client.com
ORD-00116,P003,Apparel,SwiftVendors,Los Angeles CA,10,35.0,0.05,2024-09-30,14,18,Delayed,buyer116@client.com
ORD-00117,P006,Home & Garden,PrimeSources,Los Angeles CA,87,150.0,0.1,2024-10-03,14,24,Pending,buyer117@client.com
ORD-00118,P001,Electronics,GlobalTrade Co.,Los Angeles CA,80,120.0,0.0,2023-08-21,14,13,Pending,buyer118@client.com
ORD-00119,P002,Electronics,SwiftVendors,Dallas TX,57,250.0,0.0,2023-02-17,8,18,Delivered,buyer119@client.com
ORD-00120,P006,Home & Garden,GlobalTrade Co.,Atlanta GA,56,150.0,0.0,2024-02-26,12,20,Cancelled,buyer120@client.com
ORD-00121,P003,Apparel,PrimeSources,Atlanta GA,11,35.0,0.1,2024-11-30,6,11,In Transit,buyer121@client.com
ORD-00122,P008,Food & Bev,PrimeSources,Los Angeles CA,82,20.0,0.0,2024-11-13,3,13,Pending,buyer122@client.com
ORD-00123,P009,Industrial,PrimeSources,Los Angeles CA,21,300.0,0.0,2024-08-24,7,15,Pending,buyer123@client.com
ORD-00124,P008,Food & Bev,PrimeSources,New York NY,39,20.0,0.0,2023-04-20,6,10,In Transit,buyer124@client.com
ORD-00125,P005,Home & Garden,Apex Supplies,New York NY,90,80.0,0.0,2023-10-09,3,10,Cancelled,buyer125@client.com
ORD-00126,P001,Electronics,PrimeSources,Los Angeles CA,78,120.0,0.15,2023-08-24,12,22,Delivered,buyer126@client.com
ORD-00127,P004,Apparel,GlobalTrade Co.,Dallas TX,80,55.0,0.0,2024-10-04,13,11,Delivered,buyer127@client.com
ORD-00128,P001,Electronics,GlobalTrade Co.,Dallas TX,75,120.0,0.0,2023-10-30,8,17,Pending,buyer128@client.com
ORD-00129,P003,Apparel,NextGen Parts,Atlanta GA,70,35.0,0.0,2023-10-07,5,7,Cancelled,buyer129@client.com
ORD-00130,P005,Home & Garden,Apex Supplies,New York NY,96,80.0,0.0,2023-03-19,5,15,Delivered,buyer130@client.com
ORD-00131,P007,Food & Bev,Apex Supplies,New York NY,72,12.0,0.0,2023-01-15,7,13,Delivered,buyer131@client.com
ORD-00132,P005,Home & Garden,SwiftVendors,Dallas TX,75,80.0,0.05,2024-11-22,6,11,Delivered,buyer132@client.com
ORD-00133,P009,Industrial,GlobalTrade Co.,Dallas TX,42,300.0,0.1,2024-10-12,10,19,Delivered,buyer133@client.com
ORD-00134,P002,Electronics,Apex Supplies,Los Angeles CA,18,250.0,0.0,2024-05-19,4,3,Delivered,buyer134@client.com
ORD-00135,P003,Apparel,SwiftVendors,Atlanta GA,50,35.0,0.05,2024-03-05,12,21,Delayed,buyer135@client.com
ORD-00136,P007,Food & Bev,PrimeSources,Atlanta GA,84,12.0,0.0,2024-02-22,7,5,Delayed,buyer136@client.com
ORD-00137,P008,Food & Bev,SwiftVendors,Dallas TX,57,20.0,0.0,2024-12-03,8,14,Delayed,buyer137@client.com
ORD-00138,P007,Food & Bev,Apex Supplies,New York NY,36,12.0,0.0,2023-04-04,13,14,Delayed,buyer138@client.com
ORD-00139,P001,Electronics,GlobalTrade Co.,Chicago IL,7,120.0,0.0,2024-08-01,6,5,Cancelled,buyer139@client.com
ORD-00140,P004,Apparel,GlobalTrade Co.,Los Angeles CA,76,55.0,0.0,2023-06-01,12,10,Delivered,buyer140@client.com
ORD-00141,P003,Apparel,SwiftVendors,Chicago IL,17,35.0,0.1,2023-04-23,13,11,Delivered,
ORD-00142,P004,Apparel,Apex Supplies,Chicago IL,76,55.0,0.0,2023-09-29,3,3,Delayed,buyer142@client.com
ORD-00143,P002,Electronics,PrimeSources,New York NY,96,250.0,0.0,2024-01-06,11,18,Delivered,buyer143@client.com
ORD-00144,P004,Apparel,NextGen Parts,Los Angeles CA,79,55.0,0.0,2024-04-14,13,11,Delivered,buyer144@client.com
ORD-00145,P007,Food & Bev,Apex Supplies,New York NY,55,12.0,0.15,2024-12-30,10,9,Delivered,buyer145@client.com
ORD-00146,P003,Apparel,SwiftVendors,Atlanta GA,9,35.0,0.0,2024-10-10,12,18,Delayed,buyer146@client.com
ORD-00147,P010,Industrial,PrimeSources,Atlanta GA,68,500.0,0.0,2024-09-11,9,8,Cancelled,buyer147@client.com
ORD-00148,P009,Industrial,PrimeSources,New York NY,93,300.0,0.0,2023-08-22,9,12,Cancelled,buyer148@client.com
ORD-00149,P007,Food & Bev,SwiftVendors,New York NY,94,12.0,0.0,2023-11-17,13,15,Delivered,buyer149@client.com
ORD-00150,P008,Food & Bev,Apex Supplies,Dallas TX,9,20.0,0.0,2024-03-18,4,13,Delayed,buyer150@client.com
ORD-00151,P003,Apparel,NextGen Parts,Atlanta GA,72,35.0,0.0,2024-07-29,8,16,Delivered,buyer151@client.com
ORD-00152,P007,Food & Bev,SwiftVendors,Atlanta GA,93,12.0,0.0,2023-11-16,8,7,In Transit,buyer152@client.com
ORD-00153,P003,Apparel,GlobalTrade Co.,Dallas TX,85,35.0,0.05,2023-12-25,11,14,Delivered,buyer153@client.com
ORD-00154,P010,Industrial,NextGen Parts,Atlanta GA,29,500.0,0.05,2024-09-20,13,21,In Transit,
ORD-00155,P005,Home & Garden,SwiftVendors,Los Angeles CA,4,80.0,0.0,2023-12-14,8,6,Delivered,buyer155@client.com
ORD-00156,P010,Industrial,Apex Supplies,Chicago IL,85,500.0,0.05,2024-10-10,3,2,Delayed,buyer156@client.com
ORD-00157,P007,Food & Bev,SwiftVendors,Chicago IL,54,12.0,0.05,2024-01-14,7,16,Delivered,buyer157@client.com
ORD-00158,P010,Industrial,Apex Supplies,Chicago IL,77,500.0,0.0,2023-06-11,12,10,Delayed,buyer158@client.com
ORD-00159,P008,Food & Bev,PrimeSources,Atlanta GA,85,20.0,0.05,2024-03-28,9,11,Delivered,buyer159@client.com
ORD-00160,P002,Electronics,Apex Supplies,Los Angeles CA,45,250.0,0.05,2024-11-25,13,20,Pending,buyer160@client.com
ORD-00161,P005,Home & Garden,PrimeSources,Atlanta GA,6,80.0,0.0,2023-02-26,3,4,Delivered,buyer161@client.com
ORD-00162,P003,Apparel,SwiftVendors,Los Angeles CA,98,35.0,0.0,2023-05-03,3,8,Delayed,buyer162@client.com
ORD-00163,P003,Apparel,GlobalTrade Co.,Atlanta GA,49,35.0,0.1,2024-07-26,13,23,Delivered,buyer163@client.com
ORD-00164,P001,Electronics,PrimeSources,Dallas TX,56,120.0,0.0,2023-11-17,12,16,In Transit,buyer164@client.com
ORD-00165,P007,Food & Bev,PrimeSources,Dallas TX,38,12.0,0.0,2023-11-29,5,15,In Transit,buyer165@client.com
ORD-00166,P006,Home & Garden,Apex Supplies,Chicago IL,12,150.0,0.05,2024-03-22,12,16,In Transit,buyer166@client.com
ORD-00167,P005,Home & Garden,GlobalTrade Co.,Los Angeles CA,96,80.0,0.0,2023-06-22,4,10,Delayed,buyer167@client.com
ORD-00168,P009,Industrial,SwiftVendors,Chicago IL,25,300.0,0.0,2023-08-30,4,4,Delivered,buyer168@client.com
ORD-00169,P010,Industrial,Apex Supplies,Chicago IL,20,500.0,0.15,2024-10-05,10,15,Cancelled,buyer169@client.com
ORD-00170,P010,Industrial,NextGen Parts,Atlanta GA,58,500.0,0.15,2023-11-27,13,16,Delivered,buyer170@client.com
ORD-00171,P008,Food & Bev,SwiftVendors,Los Angeles CA,57,20.0,0.15,2024-08-28,3,6,In Transit,buyer171@client.com
ORD-00172,P008,Food & Bev,Apex Supplies,Los Angeles CA,58,20.0,0.0,2023-10-21,4,12,Cancelled,buyer172@client.com
ORD-00173,P002,Electronics,NextGen Parts,New York NY,79,250.0,0.1,2024-04-18,12,18,Cancelled,buyer173@client.com
ORD-00174,P001,Electronics,GlobalTrade Co.,Los Angeles CA,58,120.0,0.1,2024-09-11,10,16,Delivered,buyer174@client.com
ORD-00175,P008,Food & Bev,Apex Supplies,Atlanta GA,14,20.0,0.0,2024-10-23,5,3,Delivered,buyer175@client.com
ORD-00176,P008,Food & Bev,NextGen Parts,Chicago IL,68,20.0,0.1,2024-01-08,8,10,Pending,buyer176@client.com
ORD-00177,P006,Home & Garden,Apex Supplies,Los Angeles CA,87,150.0,0.1,2023-03-09,8,7,In Transit,buyer177@client.com
ORD-00178,P005,Home & Garden,NextGen Parts,Chicago IL,33,80.0,0.15,2023-12-08,4,11,Delayed,buyer178@client.com
ORD-00179,P006,Home & Garden,PrimeSources,Chicago IL,40,150.0,0.15,2024-09-01,14,13,Delivered,buyer179@client.com
ORD-00180,P006,Home & Garden,NextGen Parts,Dallas TX,17,150.0,0.15,2024-10-23,13,17,In Transit,buyer180@client.com
ORD-00181,P006,Home & Garden,GlobalTrade Co.,Los Angeles CA,40,150.0,0.0,2024-05-12,6,7,Delivered,buyer181@client.com
ORD-00182,P005,Home & Garden,NextGen Parts,Atlanta GA,13,80.0,0.1,2023-02-08,13,16,Cancelled,buyer182@client.com
ORD-00183,P010,Industrial,GlobalTrade Co.,Chicago IL,49,500.0,0.0,2024-12-10,12,22,Delivered,buyer183@client.com
ORD-00184,P001,Electronics,GlobalTrade Co.,New York NY,53,120.0,0.0,2024-09-17,7,17,Delayed,buyer184@client.com
ORD-00185,P004,Apparel,SwiftVendors,New York NY,69,55.0,0.0,2023-07-18,8,16,In Transit,buyer185@client.com
ORD-00186,P008,Food & Bev,PrimeSources,Atlanta GA,99,20.0,0.0,2024-06-24,9,9,Cancelled,buyer186@client.com
ORD-00187,P010,Industrial,Apex Supplies,New York NY,18,500.0,0.0,2024-01-16,11,10,Delayed,buyer187@client.com
ORD-00188,P002,Electronics,GlobalTrade Co.,Los Angeles CA,37,250.0,0.0,2024-04-05,11,11,Cancelled,buyer188@client.com
ORD-00189,P004,Apparel,Apex Supplies,New York NY,58,55.0,0.0,2023-02-24,9,15,Delivered,buyer189@client.com
ORD-00190,P002,Electronics,Apex Supplies,Los Angeles CA,48,250.0,0.0,2023-04-12,14,22,Delivered,buyer190@client.com
ORD-00191,P003,Apparel,PrimeSources,Chicago IL,5,35.0,0.0,2024-12-23,10,15,In Transit,
ORD-00192,P002,Electronics,GlobalTrade Co.,Chicago IL,3,250.0,0.0,2024-07-15,14,21,In Transit,buyer192@client.com
ORD-00193,P005,Home & Garden,Apex Supplies,Dallas TX,31,80.0,0.0,2023-09-02,9,17,Cancelled,buyer193@client.com
ORD-00194,P002,Electronics,NextGen Parts,Atlanta GA,15,250.0,0.05,2023-01-17,13,19,In Transit,buyer194@client.com
ORD-00195,P003,Apparel,Apex Supplies,Atlanta GA,38,35.0,0.05,2023-12-28,6,13,Pending,buyer195@client.com
ORD-00196,P002,Electronics,Apex Supplies,Atlanta GA,68,250.0,0.0,2024-07-11,11,21,In Transit,buyer196@client.com
ORD-00197,P007,Food & Bev,PrimeSources,Los Angeles CA,61,12.0,0.0,2023-09-17,14,12,Delivered,buyer197@client.com
ORD-00198,P006,Home & Garden,Apex Supplies,Atlanta GA,31,150.0,0.15,2023-12-07,5,3,Delivered,buyer198@client.com
ORD-00199,P003,Apparel,PrimeSources,New York NY,100,35.0,0.15,2024-10-08,5,15,Delivered,buyer199@client.com
ORD-00200,P008,Food & Bev,GlobalTrade Co.,Dallas TX,5,20.0,0.0,2023-07-24,3,6,Delivered,buyer200@client.com
ORD-00201,P009,Industrial,Apex Supplies,Chicago IL,61,300.0,0.0,2023-10-20,8,18,Delivered,buyer201@client.com
ORD-00202,P006,Home & Garden,SwiftVendors,New York NY,35,150.0,0.0,2024-02-14,14,19,Pending,buyer202@client.com
ORD-00203,P003,Apparel,PrimeSources,Los Angeles CA,64,35.0,0.15,2024-06-15,7,17,Delivered,buyer203@client.com
ORD-00204,P002,Electronics,GlobalTrade Co.,Atlanta GA,56,250.0,0.1,2023-10-28,8,7,Delivered,buyer204@client.com
ORD-00205,P005,Home & Garden,NextGen Parts,New York NY,40,80.0,0.05,2023-06-20,14,19,Delivered,buyer205@client.com
ORD-00206,P006,Home & Garden,SwiftVendors,Dallas TX,79,150.0,0.05,2023-03-18,13,21,Pending,buyer206@client.com
ORD-00207,P003,Apparel,NextGen Parts,New York NY,4,35.0,0.0,2023-02-05,5,4,Delivered,buyer207@client.com
ORD-00208,P006,Home & Garden,NextGen Parts,Dallas TX,47,150.0,0.05,2024-09-11,5,13,Pending,buyer208@client.com
ORD-00209,P006,Home & Garden,NextGen Parts,Chicago IL,57,150.0,0.0,2024-06-26,8,12,Delivered,buyer209@client.com
ORD-00210,P004,Apparel,GlobalTrade Co.,New York NY,15,55.0,0.0,2024-06-14,9,15,Delivered,buyer210@client.com
